Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
1210186190,"Sep 24, 2017, 8:35:51 AM",Morning Ride,Ride,,138,0.68,160.0,0,false,Luath 700L,activities/1316187216.fit.gz,46.0,15.0,138.0,138.0,680.0999755859375,7.199999809265137,,2.608330011367798,,26.5,29.5,0.0,0.1617410033941269,,,103.0,61.027801513671875,160.0,144.70199584960938,,107.87799835205078,,,9.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1210186348,"Sep 24, 2017, 9:44:42 AM",Morning Ride,Ride,,1532,9.94,,,false,Luath 700L,activities/1316187349.fit.gz,46.0,15.0,1532.0,1439.0,9948.599609375,9.300000190734863,,74.0,,35.400001525878906,42.599998474121094,6.0,-0.022113699465990067,,,134.0,82.49729919433594,,,,148.8419952392578,,,9.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1210186532,"Oct 1, 2017, 9:34:56 AM",Morning Ride,Ride,,2246,7.32,202.0,104,false,Luath 700L,activities/1316187469.fit.gz,46.0,15.0,2246.0,2035.0,7322.89990234375,8.0,,109.0,,19.0,38.79999923706055,28.899999618530273,0.10924633592367172,,,158.0,76.74510955810547,202.0,190.6225128173828,,80.24652862548828,,,8.0,104.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1218820899,"Oct 7, 2017, 8:49:39 AM",Morning Ride,Ride,,6172,31.21,197.0,92,false,Luath 700L,activities/1324917081.fit.gz,46.0,15.0,6172.0,5869.0,31213.80078125,13.5,,256.0,,45.599998474121094,145.60000610351562,22.399999618530273,-0.006407422479242086,,,152.0,77.91393280029297,197.0,158.73013305664062,,108.874267578125,,,11.0,92.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1228380309,"Oct 8, 2017, 9:30:33 AM",Morning Ride,Ride,,2659,11.32,202.0,125,false,Luath 700L,activities/1334587881.fit.gz,46.0,15.0,2659.0,2659.0,11322.400390625,10.300000190734863,,72.0,,-3.200000047683716,16.799999237060547,49.400001525878906,-0.06182434782385826,,,135.0,74.918701171875,202.0,188.44676208496094,,73.40697479248047,,,11.0,125.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1228380437,"Oct 13, 2017, 3:42:08 PM",Afternoon Ride,Ride,,1808,9.98,192.0,0,false,Luath 700L,activities/1334588029.fit.gz,46.0,15.0,1808.0,1591.0,9980.900390625,7.699999809265137,,3.0,,95.5999984741211,97.4000015258789,4.800000190734863,0.0,,,98.0,82.76667022705078,192.0,175.96292114257812,,116.62916564941406,,,19.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1261011817,"Oct 14, 2017, 10:02:40 AM",Lunch Ride,Ride,,2212,6.57,196.0,24,false,Luath 700L,activities/1367609487.fit.gz,46.0,15.0,2212.0,1020.0,6574.7001953125,9.899999618530273,,20.0,,33.20000076293945,40.599998474121094,4.699999809265137,-0.015209819190204144,,,133.0,82.72240447998047,196.0,169.3169708251953,,136.00686645507812,,,13.0,24.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1261011914,"Oct 14, 2017, 12:05:19 PM",Afternoon Ride,Ride,,133,1.05,193.0,5,false,Luath 700L,activities/1367609599.fit.gz,46.0,15.0,133.0,133.0,1057.0999755859375,9.300000190734863,,6.0,,38.0,42.79999923706055,3.5,-0.0756787434220314,,,119.0,87.89763641357422,193.0,186.37594604492188,,188.9699249267578,,,13.0,5.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1261012022,"Oct 14, 2017, 11:22:28 AM",Lunch Ride,Ride,,2398,12.65,196.0,55,false,Luath 700L,activities/1367609696.fit.gz,46.0,15.0,2398.0,1737.0,12652.099609375,11.399999618530273,,10.0,,33.599998474121094,42.0,4.699999809265137,-0.02371147833764553,,,143.0,84.58348846435547,196.0,176.6827850341797,,160.19113159179688,,,13.0,55.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1261012144,"Oct 21, 2017, 12:02:40 PM",Afternoon Ride,Ride,,2296,12.56,190.0,25,false,Luath 700L,activities/1367609801.fit.gz,46.0,15.0,2296.0,2075.0,12567.2001953125,13.300000190734863,,16.0,,36.79999923706055,100.0,7.699999809265137,-0.5028964281082153,,,160.0,75.4496078491211,190.0,153.90774536132812,,110.25711822509766,,,13.0,25.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
